project,ticker,binance_perp_date,perp_symbol,fdv_at_listing,n_exchanges_before,n_exchanges_within_7d,days_since_first_listing,had_binance_spot,had_okx_perp,had_okx_spot,had_coinbase_spot,had_bithumb,had_upbit,cr_slug,cr_ico_raised_usd,cr_has_funding_rounds,cr_investor_count,cr_tier1_count,cr_lead_count,cr_fdv,rd_project_id,rd_total_funding_usd,rd_investor_count,rd_lead_count,rd_rt_score,rd_establishment_date,funding_match,funding_consensus_usd,ret_1d,ret_7d,ret_30d,max_drawdown_30d,vol_d1_usd,vol_avg_d2_7_usd,vol_avg_d8_30_usd,vol_decay_ratio,avg_funding_rate_30d
DAR Open Network,D,2025-01-09,DUSDT,11060000.0,0,1,0,True,False,False,False,False,False,dar-open-network,,False,0,0,0,10851098.3784,15775,,0,0,135.46,2024,none,,-0.09621907422186753,-0.2973363926576217,-0.6249501197126895,-0.5850212484132677,60180455.26054,34552574.892875,63536280.125663474,1.055762703199819,-0.00028829803370786515
ChainGPT,CGPT,2025-01-14,CGPTUSDT,31320000.0,1,1,4,True,False,False,False,False,False,chain-gpt,,False,22,0,0,27118364.254096526376,9931,,0,0,177.454,2022,none,,0.18539755351681955,-0.21574335450482238,-0.545989179016702,-0.6833472463506532,493255348.97392,190317903.47747,38276211.51325087,0.07759918182919626,1.1979888888888891e-05
dForce,DF,2025-01-14,DFUSDT,330260.0,0,0,-63,False,False,False,False,False,False,,,,0,0,0,,363,1500000,3,1,319.11,2019,rd_only,1500000,0.010704469839433019,0.13525242297121362,0.09113264863301028,-0.2785410216718266,9385192.32042,32673187.95061,33552412.057567827,3.5750372407995905,4.3299111111111116e-05
aixbt,AIXBT,2025-01-14,AIXBTUSDT,32150000.0,2,2,11,True,True,True,False,False,False,,,,0,0,0,,15226,,0,0,444.147,2024,none,,0.4874076483434783,0.6805910506017377,-0.4010966033176897,-0.7395730856345375,1128545043.42203,651348140.5511883,213037089.33252478,0.18877145451504815,3.832755555555556e-05
Pudgy Penguins,PENGU,2025-01-14,PENGUUSDT,747950000.0,2,0,28,True,True,False,False,False,False,pudgy-penguins,,True,10,0,2,683436733.04428776069,7789,9000000,11,1,849.078,2021,rd_only,9000000,0.021685056444926337,-0.21257733273805723,-0.6630524905925123,-0.7183895110010691,223083186.809696,287361011.37582016,233884600.34632343,1.0484187701058876,4.679488888888889e-05
Lumia,LUMIA,2025-01-14,LUMIAUSDT,29860000.0,1,0,88,True,False,False,False,False,False,lumia,,True,1,0,0,23735843.226369471904,241,3450000,1,0,245.195,2018,rd_only,3450000,0.03910614525139668,-0.06983240223463692,-0.44413407821229056,-0.551500405515004,8039917.1916,17251288.614383332,13144670.580669565,1.6349261152096126,4.4589444444444446e-05
Alchemist AI,ALCH,2025-01-14,ALCHUSDT,83870000.0,0,0,,False,False,False,False,False,False,alchemist-ai,,False,1,0,0,78820456.546959254071,15476,,0,0,211.568,2024,none,,0.12376689806357333,-0.22698209718670076,-0.7809645597369382,-0.8476880081300813,93894584.82086,141358008.37103167,66166780.45441565,0.7046921883797048,0.00011918144444444445
Kamino,KMNO,2025-01-14,KMNOUSDT,245340000.0,0,0,-112,False,False,False,False,False,False,kamino,,False,2,0,0,199374954.05,6194,,0,0,627.357,2022,none,,0.03303787268331996,0.22502014504431925,0.13255439161966162,-0.45051194539249145,12755346.8126,19294295.053218335,6660685.351676087,0.5221877107329236,4.8782388888888894e-05
ai16z,AI16Z,2025-01-14,AI16ZUSDT,702440.0,1,0,25,False,True,False,False,False,False,,,,0,0,0,,14834,,0,0,730.245,2024,none,,0.21988882025941947,-0.1763875408100238,-0.5159269390276184,-0.8131993896236012,674137549.05434,451986452.533605,271155796.81874174,0.40222621807539277,8.518194444444444e-05
Cookie DAO,COOKIE,2025-01-14,COOKIEUSDT,19080000.0,1,1,4,True,False,False,False,False,False,cookiedao,,True,27,1,2,17071719.23845878336,2220,5800000,20,3,174.653,2021,rd_only,5800000,0.1383900274667229,-0.18846397633636172,-0.5664483414324952,-0.7377132241175477,201884948.5352,110022669.91766667,72037786.98656957,0.35682594224704817,-0.0005920321111111111
GRIFFAIN,GRIFFAIN,2025-01-14,GRIFFAINUSDT,12530000.0,0,0,,False,False,False,False,False,False,griffain,,False,0,0,0,11032842.679061389912,15007,,0,0,407.443,2024,none,,0.22756873109724526,0.477044222228277,-0.5064439661044658,-0.7792919911409588,193920624.89804,228765463.88465667,155610741.9778461,0.8024455472937106,6.86625e-05
Fartcoin,FARTCOIN,2025-01-14,FARTCOINUSDT,233620000.0,1,0,25,False,True,False,False,False,False,fartcoin,,False,0,0,0,182178021.387,14814,,0,0,232.972,2024,none,,-0.05185873605947962,0.6674721189591077,-0.46496282527881044,-0.8053874231853255,1090537715.43833,874387892.2961149,698164325.2320422,0.6402019071402978,0.0001084551111111111
1000CAT,1000CAT,2025-01-14,1000CATUSDT,,1,0,28,True,False,False,False,False,False,,,,0,0,0,,,,0,0,,,none,,0.03687720674774421,-0.22479403687720673,-0.3793644566496665,-0.6753908905506458,31345860.92562,54403891.47764167,40696452.034762606,1.298303853619795,4.729122222222222e-05
Swarms,SWARMS,2025-01-14,SWARMSUSDT,18470000.0,0,0,,False,False,False,False,False,False,swarms,,False,0,0,0,12453144.46893253438,15584,,0,0,237.137,2024,none,,0.15350662089259437,-0.24472780774889652,-0.7753800882785679,-0.8524659863945577,268326256.7551,341886907.24515,220568879.5008348,0.8220175027528032,0.00016231827777777778
PHALA,PHA,2025-01-14,PHAUSDT,37860000.0,1,1,6,True,False,False,False,False,False,phala,,True,6,0,0,32850710.829,298,,6,0,522.009,2018,none,,0.029974328379795422,-0.08883826879271065,-0.3775536030661315,-0.6058486115578429,35372695.50575,122924497.28576167,22890448.37013174,0.6471219691586916,4.7342388888888894e-05
Zerebro,ZEREBRO,2025-01-14,ZEREBROUSDT,36740000.0,0,0,,False,False,False,False,False,False,zerebro,,False,0,0,0,22816781.740459560469,15160,,0,0,161.487,2024,none,,0.07631874298540976,-0.42012719790497566,-0.8148148148148149,-0.8611289288005132,188203920.0989,155968677.97498333,63151125.615708694,0.33554628183367896,0.00010722872222222222
Prom,PROM,2025-01-21,PROMUSDT,37320000.0,0,0,,False,False,False,False,False,False,prometeus,4850000,True,1,0,0,21018684.069306,1467,,1,0,232.29,2020,cr_only,4850000,0.0036350418029808184,-0.07179207560886942,0.09342057433660492,-0.23379210431003267,7983748.1233,8370425.550283333,10580557.234943477,1.3252619034992943,2.1489779005524862e-05
AVAAI,AVAAI,2025-01-21,AVAAIUSDT,,0,1,-6,False,True,False,False,False,False,,,,0,0,0,,15176,,0,0,264.088,2024,none,,0.02052209873352288,-0.4581028689583872,-0.8344275006461618,-0.8406287909421755,109195237.44038,84728253.25938667,46801053.388932176,0.4285997675904619,8.852060773480664e-05
